feature,num,sosinavn
kvalitet.Posisjonskvalitet.målemetodeHøyde,10,terrengmåltUspesifisertMåleinstrument
kvalitet.Posisjonskvalitet.målemetodeHøyde,11,terrengmåltTotalstasjon
kvalitet.Posisjonskvalitet.målemetodeHøyde,12,terrengmåltTeodolittOgElAvstandsmåler
kvalitet.Posisjonskvalitet.målemetodeHøyde,13,terrengmåltTeodolittOgMålebånd
kvalitet.Posisjonskvalitet.målemetodeHøyde,14,terrengmåltOrtogonalmetoden
kvalitet.Posisjonskvalitet.målemetodeHøyde,15,nivellement
kvalitet.Posisjonskvalitet.målemetodeHøyde,18,tattFraPlan
kvalitet.Posisjonskvalitet.målemetodeHøyde,20,stereoinstrument
kvalitet.Posisjonskvalitet.målemetodeHøyde,21,aerotriangulert
kvalitet.Posisjonskvalitet.målemetodeHøyde,22,stereoinstrumentAnalytiskPlotter
kvalitet.Posisjonskvalitet.målemetodeHøyde,23,stereoinstrumentAutograf
kvalitet.Posisjonskvalitet.målemetodeHøyde,24,stereoinstrumentDigitalt
kvalitet.Posisjonskvalitet.målemetodeHøyde,36,flybårenLaserscanning
kvalitet.Posisjonskvalitet.målemetodeHøyde,60,genererteDataInterpolasjon
kvalitet.Posisjonskvalitet.målemetodeHøyde,61,genererteDataInterpolasjonTerrengmodell
kvalitet.Posisjonskvalitet.målemetodeHøyde,62,genererteDataInterpolasjonVektetMiddel
kvalitet.Posisjonskvalitet.målemetodeHøyde,63,genererteDataFraAnnenGeometri
kvalitet.Posisjonskvalitet.målemetodeHøyde,64,genererteDataGeneralisering
kvalitet.Posisjonskvalitet.målemetodeHøyde,66,genererteDataSammenknytningspunktRandpunkt
kvalitet.Posisjonskvalitet.målemetodeHøyde,67,koordinaterHentetFraGAB
kvalitet.Posisjonskvalitet.målemetodeHøyde,68,koordinaterHentetFraJREG
kvalitet.Posisjonskvalitet.målemetodeHøyde,69,beregnet
kvalitet.Posisjonskvalitet.målemetodeHøyde,70,spesielleMetoder
kvalitet.Posisjonskvalitet.målemetodeHøyde,74,spesielleMetoderMåltMedStigningsmåler
kvalitet.Posisjonskvalitet.målemetodeHøyde,78,fastsattVedDomEllerKongeligResolusjon
kvalitet.Posisjonskvalitet.målemetodeHøyde,79,annetSpesifiseresIFilhode
kvalitet.Posisjonskvalitet.målemetodeHøyde,90,treghetsstedfesting
kvalitet.Posisjonskvalitet.målemetodeHøyde,91,GNSSKodemålingRelativeMålinger
kvalitet.Posisjonskvalitet.målemetodeHøyde,92,GNSSKodemålingEnkleMålinger
kvalitet.Posisjonskvalitet.målemetodeHøyde,93,GNSSFasemålingStatiskMåling
kvalitet.Posisjonskvalitet.målemetodeHøyde,94,GNSSFasemålingAndreMetoder
kvalitet.Posisjonskvalitet.målemetodeHøyde,95,kombinasjonAvGNSSTreghet
kvalitet.Posisjonskvalitet.målemetodeHøyde,96,GNSSFasemålingRTK
kvalitet.Posisjonskvalitet.målemetodeHøyde,99,ukjentMålemetode